frame,Agent Type,agent number
0,Fox,25
0,Rabbit,35
1,Fox,30
1,Rabbit,31
2,Fox,31
2,Rabbit,30
3,Fox,31
3,Rabbit,30
4,Fox,31
4,Rabbit,30
5,Fox,31
5,Rabbit,30
6,Fox,31
6,Rabbit,30
7,Fox,31
7,Rabbit,30
8,Fox,31
8,Rabbit,30
9,Fox,30
9,Rabbit,31
10,Fox,30
10,Rabbit,31
11,Fox,30
11,Rabbit,31
12,Fox,30
12,Rabbit,31
13,Fox,30
13,Rabbit,31
14,Fox,30
14,Rabbit,31
15,Fox,30
15,Rabbit,31
16,Fox,30
16,Rabbit,31
17,Fox,30
17,Rabbit,31
18,Fox,30
18,Rabbit,31
19,Fox,29
19,Rabbit,31
20,Fox,29
20,Rabbit,31
21,Fox,29
21,Rabbit,31
22,Fox,29
22,Rabbit,31
23,Fox,28
23,Rabbit,31
24,Fox,28
24,Rabbit,31
25,Fox,28
25,Rabbit,31
26,Fox,28
26,Rabbit,31
27,Fox,28
27,Rabbit,31
28,Fox,27
28,Rabbit,32
29,Fox,27
29,Rabbit,32
30,Fox,27
30,Rabbit,32
31,Fox,27
31,Rabbit,32
32,Fox,27
32,Rabbit,32
33,Fox,27
33,Rabbit,32
34,Fox,27
34,Rabbit,32
35,Fox,27
35,Rabbit,32
36,Fox,27
36,Rabbit,32
37,Fox,27
37,Rabbit,32
38,Fox,27
38,Rabbit,32
39,Fox,28
39,Rabbit,31
40,Fox,27
40,Rabbit,31
41,Fox,27
41,Rabbit,31
42,Fox,27
42,Rabbit,31
43,Fox,27
43,Rabbit,31
44,Fox,27
44,Rabbit,31
45,Fox,27
45,Rabbit,31
46,Fox,27
46,Rabbit,31
47,Fox,27
47,Rabbit,31
48,Fox,28
48,Rabbit,30
49,Fox,28
49,Rabbit,30
50,Fox,28
50,Rabbit,30
51,Fox,28
51,Rabbit,30
52,Fox,28
52,Rabbit,30
53,Fox,28
53,Rabbit,30
54,Fox,28
54,Rabbit,30
55,Fox,28
55,Rabbit,30
56,Fox,28
56,Rabbit,30
57,Fox,28
57,Rabbit,30
58,Fox,28
58,Rabbit,30
59,Fox,28
59,Rabbit,30
60,Fox,27
60,Rabbit,30
61,Fox,27
61,Rabbit,30
62,Fox,27
62,Rabbit,30
63,Fox,27
63,Rabbit,30
64,Fox,27
64,Rabbit,30
65,Fox,27
65,Rabbit,30
66,Fox,27
66,Rabbit,31
67,Fox,27
67,Rabbit,32
68,Fox,28
68,Rabbit,31
69,Fox,28
69,Rabbit,31
70,Fox,28
70,Rabbit,31
71,Fox,28
71,Rabbit,31
72,Fox,28
72,Rabbit,31
73,Fox,28
73,Rabbit,31
74,Fox,28
