frame,Agent Type,Population Count
0,Foxfemale,12
0,Foxmale,8
0,Grass,200
0,Rabbitfemale,95
0,Rabbitmale,105
1,Foxfemale,13
1,Foxmale,12
1,Grass,177
1,Rabbitfemale,105
1,Rabbitmale,113
2,Foxfemale,13
2,Foxmale,12
2,Grass,176
2,Rabbitfemale,107
2,Rabbitmale,114
3,Foxfemale,13
3,Foxmale,13
3,Grass,175
3,Rabbitfemale,107
3,Rabbitmale,115
4,Foxfemale,13
4,Foxmale,13
4,Grass,173
4,Rabbitfemale,108
4,Rabbitmale,116
5,Foxfemale,14
5,Foxmale,14
5,Grass,171
5,Rabbitfemale,109
5,Rabbitmale,116
6,Foxfemale,14
6,Foxmale,15
6,Grass,170
6,Rabbitfemale,109
6,Rabbitmale,116
7,Foxfemale,15
7,Foxmale,16
7,Grass,170
7,Rabbitfemale,107
7,Rabbitmale,117
8,Foxfemale,15
8,Foxmale,16
8,Grass,170
8,Rabbitfemale,107
8,Rabbitmale,118
9,Foxfemale,15
9,Foxmale,16
9,Grass,170
9,Rabbitfemale,107
9,Rabbitmale,119
10,Foxfemale,15
10,Foxmale,17
10,Grass,169
10,Rabbitfemale,107
10,Rabbitmale,119
11,Foxfemale,15
11,Foxmale,17
11,Grass,168
11,Rabbitfemale,107
11,Rabbitmale,122
12,Foxfemale,16
12,Foxmale,17
12,Grass,168
12,Rabbitfemale,106
12,Rabbitmale,122
13,Foxfemale,16
13,Foxmale,17
13,Grass,167
13,Rabbitfemale,106
13,Rabbitmale,123
14,Foxfemale,16
14,Foxmale,17
14,Grass,165
14,Rabbitfemale,107
14,Rabbitmale,125
15,Foxfemale,16
15,Foxmale,17
15,Grass,164
15,Rabbitfemale,109
15,Rabbitmale,125
16,Foxfemale,15
16,Foxmale,17
16,Grass,165
16,Rabbitfemale,109
16,Rabbitmale,125
17,Foxfemale,16
17,Foxmale,18
17,Grass,165
17,Rabbitfemale,109
17,Rabbitmale,123
18,Foxfemale,16
18,Foxmale,18
18,Grass,165
18,Rabbitfemale,109
18,Rabbitmale,123
19,Foxfemale,17
19,Foxmale,18
19,Grass,165
19,Rabbitfemale,108
19,Rabbitmale,123
20,Foxfemale,17
20,Foxmale,18
20,Grass,165
20,Rabbitfemale,110
20,Rabbitmale,124
21,Foxfemale,17
21,Foxmale,18
21,Grass,165
21,Rabbitfemale,110
21,Rabbitmale,124
22,Foxfemale,17
22,Foxmale,19
22,Grass,165
22,Rabbitfemale,109
22,Rabbitmale,124
23,Foxfemale,17
23,Foxmale,19
23,Grass,164
23,Rabbitfemale,110
23,Rabbitmale,124
24,Foxfemale,17
24,Foxmale,19
24,Grass,164
24,Rabbitfemale,110
24,Rabbitmale,124
25,Foxfemale,17
25,Foxmale,19
25,Grass,164
25,Rabbitfemale,110
25,Rabbitmale,124
26,Foxfemale,17
26,Foxmale,21
26,Grass,165
26,Rabbitfemale,109
26,Rabbitmale,124
27,Foxfemale,16
27,Foxmale,22
27,Grass,164
27,Rabbitfemale,109
27,Rabbitmale,124
28,Foxfemale,17
28,Foxmale,22
28,Grass,164
28,Rabbitfemale,108
28,Rabbitmale,124
29,Foxfemale,18
29,Foxmale,22
29,Grass,164
29,Rabbitfemale,107
29,Rabbitmale,125
30,Foxfemale,19
30,Foxmale,24
30,Grass,164
30,Rabbitfemale,107
30,Rabbitmale,123
31,Foxfemale,19
31,Foxmale,24
31,Grass,164
31,Rabbitfemale,107
31,Rabbitmale,122
32,Foxfemale,19
32,Foxmale,27
32,Grass,164
32,Rabbitfemale,105
32,Rabbitmale,122
33,Foxfemale,19
33,Foxmale,28
33,Grass,164
33,Rabbitfemale,104
33,Rabbitmale,123
34,Foxfemale,19
34,Foxmale,29
34,Grass,164
34,Rabbitfemale,103
34,Rabbitmale,123
35,Foxfemale,19
35,Foxmale,29
35,Grass,164
35,Rabbitfemale,103
35,Rabbitmale,123
36,Foxfemale,19
36,Foxmale,29
36,Grass,164
36,Rabbitfemale,103
36,Rabbitmale,123
37,Foxfemale,19
37,Foxmale,30
37,Grass,164
37,Rabbitfemale,103
37,Rabbitmale,124
38,Foxfemale,20
38,Foxmale,29
38,Grass,164
38,Rabbitfemale,102
38,Rabbitmale,124
39,Foxfemale,21
39,Foxmale,29
39,Grass,164
39,Rabbitfemale,102
39,Rabbitmale,123
40,Foxfemale,21
40,Foxmale,29
40,Grass,164
