frame,Agent Type,Population Count
0,Foxfemale,11
0,Foxmale,9
0,Grass,200
0,Rabbitfemale,108
0,Rabbitmale,92
1,Foxfemale,12
1,Foxmale,9
1,Grass,186
1,Rabbitfemale,116
1,Rabbitmale,97
2,Foxfemale,12
2,Foxmale,10
2,Grass,184
2,Rabbitfemale,118
2,Rabbitmale,98
3,Foxfemale,13
3,Foxmale,11
3,Grass,183
3,Rabbitfemale,119
3,Rabbitmale,97
4,Foxfemale,13
4,Foxmale,11
4,Grass,184
4,Rabbitfemale,119
4,Rabbitmale,98
5,Foxfemale,13
5,Foxmale,12
5,Grass,182
5,Rabbitfemale,120
5,Rabbitmale,99
6,Foxfemale,14
6,Foxmale,13
6,Grass,182
6,Rabbitfemale,120
6,Rabbitmale,97
7,Foxfemale,15
7,Foxmale,13
7,Grass,180
7,Rabbitfemale,120
7,Rabbitmale,98
8,Foxfemale,15
8,Foxmale,13
8,Grass,180
8,Rabbitfemale,121
8,Rabbitmale,99
9,Foxfemale,16
9,Foxmale,13
9,Grass,179
9,Rabbitfemale,121
9,Rabbitmale,99
10,Foxfemale,16
10,Foxmale,13
10,Grass,177
10,Rabbitfemale,123
10,Rabbitmale,99
11,Foxfemale,16
11,Foxmale,13
11,Grass,175
11,Rabbitfemale,124
11,Rabbitmale,100
12,Foxfemale,17
12,Foxmale,14
12,Grass,174
12,Rabbitfemale,123
12,Rabbitmale,100
13,Foxfemale,17
13,Foxmale,14
13,Grass,174
13,Rabbitfemale,123
13,Rabbitmale,100
14,Foxfemale,17
14,Foxmale,14
14,Grass,173
14,Rabbitfemale,122
14,Rabbitmale,101
15,Foxfemale,17
15,Foxmale,14
15,Grass,173
15,Rabbitfemale,123
15,Rabbitmale,102
16,Foxfemale,17
16,Foxmale,14
16,Grass,173
16,Rabbitfemale,123
16,Rabbitmale,101
17,Foxfemale,17
17,Foxmale,14
17,Grass,173
17,Rabbitfemale,123
17,Rabbitmale,102
18,Foxfemale,17
18,Foxmale,14
18,Grass,173
18,Rabbitfemale,123
18,Rabbitmale,103
19,Foxfemale,18
19,Foxmale,14
19,Grass,173
19,Rabbitfemale,122
19,Rabbitmale,103
20,Foxfemale,18
20,Foxmale,14
20,Grass,173
