frame,Agent Type,Population Count
0,Foxfemale,11
0,Foxmale,9
0,Grass,200
0,Rabbitfemale,100
0,Rabbitmale,100
1,Foxfemale,11
1,Foxmale,10
1,Grass,185
1,Rabbitfemale,104
1,Rabbitmale,110
2,Foxfemale,12
2,Foxmale,11
2,Grass,184
2,Rabbitfemale,103
2,Rabbitmale,110
3,Foxfemale,12
3,Foxmale,11
3,Grass,184
3,Rabbitfemale,103
3,Rabbitmale,110
4,Foxfemale,12
4,Foxmale,11
4,Grass,183
4,Rabbitfemale,103
4,Rabbitmale,111
5,Foxfemale,12
5,Foxmale,11
5,Grass,182
5,Rabbitfemale,103
5,Rabbitmale,113
6,Foxfemale,12
6,Foxmale,11
6,Grass,181
6,Rabbitfemale,103
6,Rabbitmale,114
7,Foxfemale,13
7,Foxmale,11
7,Grass,181
7,Rabbitfemale,103
7,Rabbitmale,113
8,Foxfemale,13
8,Foxmale,12
8,Grass,179
8,Rabbitfemale,103
8,Rabbitmale,114
9,Foxfemale,13
9,Foxmale,14
9,Grass,180
9,Rabbitfemale,103
9,Rabbitmale,112
10,Foxfemale,14
10,Foxmale,14
10,Grass,180
10,Rabbitfemale,103
10,Rabbitmale,112
11,Foxfemale,14
11,Foxmale,14
11,Grass,177
11,Rabbitfemale,106
11,Rabbitmale,112
12,Foxfemale,14
12,Foxmale,14
12,Grass,176
12,Rabbitfemale,106
12,Rabbitmale,113
13,Foxfemale,15
13,Foxmale,14
13,Grass,175
13,Rabbitfemale,105
13,Rabbitmale,114
14,Foxfemale,15
14,Foxmale,14
14,Grass,173
14,Rabbitfemale,106
14,Rabbitmale,115
15,Foxfemale,15
15,Foxmale,14
15,Grass,173
15,Rabbitfemale,106
15,Rabbitmale,115
16,Foxfemale,15
16,Foxmale,14
16,Grass,173
16,Rabbitfemale,106
16,Rabbitmale,115
17,Foxfemale,15
17,Foxmale,14
17,Grass,172
17,Rabbitfemale,106
17,Rabbitmale,116
18,Foxfemale,15
18,Foxmale,15
18,Grass,172
18,Rabbitfemale,106
18,Rabbitmale,115
19,Foxfemale,15
19,Foxmale,15
19,Grass,172
19,Rabbitfemale,106
19,Rabbitmale,115
20,Foxfemale,15
20,Foxmale,15
20,Grass,173
