frame,Agent Type,Population Count
0,Foxfemale,5
0,Foxmale,15
0,Grass,200
0,Rabbitfemale,104
0,Rabbitmale,96
1,Foxfemale,7
1,Foxmale,15
1,Grass,173
1,Rabbitfemale,112
1,Rabbitmale,114
2,Foxfemale,7
2,Foxmale,16
2,Grass,173
2,Rabbitfemale,111
2,Rabbitmale,115
3,Foxfemale,8
3,Foxmale,16
3,Grass,172
3,Rabbitfemale,112
3,Rabbitmale,116
4,Foxfemale,9
4,Foxmale,16
4,Grass,172
4,Rabbitfemale,114
4,Rabbitmale,116
5,Foxfemale,10
5,Foxmale,14
5,Grass,172
5,Rabbitfemale,113
5,Rabbitmale,116
6,Foxfemale,10
6,Foxmale,14
6,Grass,171
6,Rabbitfemale,115
6,Rabbitmale,117
7,Foxfemale,12
7,Foxmale,14
7,Grass,171
7,Rabbitfemale,113
7,Rabbitmale,119
8,Foxfemale,13
8,Foxmale,14
8,Grass,171
8,Rabbitfemale,112
8,Rabbitmale,120
9,Foxfemale,14
9,Foxmale,14
9,Grass,171
9,Rabbitfemale,112
9,Rabbitmale,122
10,Foxfemale,15
10,Foxmale,15
10,Grass,169
10,Rabbitfemale,112
10,Rabbitmale,123
11,Foxfemale,15
11,Foxmale,16
11,Grass,168
11,Rabbitfemale,111
11,Rabbitmale,124
12,Foxfemale,15
12,Foxmale,16
12,Grass,165
12,Rabbitfemale,112
12,Rabbitmale,126
13,Foxfemale,15
13,Foxmale,16
13,Grass,163
13,Rabbitfemale,112
13,Rabbitmale,128
14,Foxfemale,16
14,Foxmale,16
14,Grass,163
14,Rabbitfemale,112
14,Rabbitmale,129
15,Foxfemale,17
15,Foxmale,16
15,Grass,163
15,Rabbitfemale,111
15,Rabbitmale,129
16,Foxfemale,17
16,Foxmale,16
16,Grass,163
16,Rabbitfemale,111
16,Rabbitmale,129
17,Foxfemale,19
17,Foxmale,17
17,Grass,163
17,Rabbitfemale,109
17,Rabbitmale,130
18,Foxfemale,19
18,Foxmale,17
18,Grass,162
18,Rabbitfemale,110
18,Rabbitmale,131
19,Foxfemale,19
19,Foxmale,17
19,Grass,162
19,Rabbitfemale,111
19,Rabbitmale,131
20,Foxfemale,19
20,Foxmale,17
20,Grass,160
20,Rabbitfemale,112
20,Rabbitmale,133
21,Foxfemale,19
21,Foxmale,18
21,Grass,159
21,Rabbitfemale,113
21,Rabbitmale,132
22,Foxfemale,19
22,Foxmale,19
22,Grass,158
22,Rabbitfemale,112
22,Rabbitmale,133
23,Foxfemale,19
23,Foxmale,19
23,Grass,158
23,Rabbitfemale,112
23,Rabbitmale,133
24,Foxfemale,19
24,Foxmale,19
24,Grass,158
24,Rabbitfemale,113
24,Rabbitmale,134
25,Foxfemale,19
25,Foxmale,19
25,Grass,158
25,Rabbitfemale,114
25,Rabbitmale,135
26,Foxfemale,20
26,Foxmale,19
26,Grass,157
26,Rabbitfemale,116
26,Rabbitmale,134
27,Foxfemale,20
27,Foxmale,18
27,Grass,157
27,Rabbitfemale,116
27,Rabbitmale,134
28,Foxfemale,20
28,Foxmale,18
28,Grass,156
28,Rabbitfemale,117
28,Rabbitmale,134
29,Foxfemale,20
29,Foxmale,19
29,Grass,156
29,Rabbitfemale,117
29,Rabbitmale,133
30,Foxfemale,21
30,Foxmale,19
30,Grass,156
30,Rabbitfemale,116
30,Rabbitmale,133
31,Foxfemale,21
31,Foxmale,19
31,Grass,156
31,Rabbitfemale,116
31,Rabbitmale,132
32,Foxfemale,21
32,Foxmale,18
32,Grass,156
32,Rabbitfemale,116
32,Rabbitmale,134
33,Foxfemale,21
33,Foxmale,20
33,Grass,155
33,Rabbitfemale,116
33,Rabbitmale,133
34,Foxfemale,22
34,Foxmale,20
34,Grass,155
34,Rabbitfemale,115
34,Rabbitmale,134
35,Foxfemale,22
35,Foxmale,20
35,Grass,155
35,Rabbitfemale,115
35,Rabbitmale,133
36,Foxfemale,22
36,Foxmale,21
36,Grass,157
36,Rabbitfemale,115
36,Rabbitmale,132
37,Foxfemale,22
37,Foxmale,21
37,Grass,157
37,Rabbitfemale,114
37,Rabbitmale,131
38,Foxfemale,21
38,Foxmale,22
38,Grass,157
38,Rabbitfemale,115
38,Rabbitmale,130
39,Foxfemale,21
39,Foxmale,22
39,Grass,158
39,Rabbitfemale,115
39,Rabbitmale,131
40,Foxfemale,22
40,Foxmale,21
40,Grass,159
40,Rabbitfemale,114
40,Rabbitmale,130
41,Foxfemale,22
41,Foxmale,21
41,Grass,159
41,Rabbitfemale,114
41,Rabbitmale,131
42,Foxfemale,21
42,Foxmale,21
42,Grass,159
42,Rabbitfemale,114
42,Rabbitmale,131
43,Foxfemale,21
43,Foxmale,21
43,Grass,158
43,Rabbitfemale,115
43,Rabbitmale,131
44,Foxfemale,20
44,Foxmale,21
44,Grass,157
44,Rabbitfemale,117
44,Rabbitmale,132
45,Foxfemale,20
45,Foxmale,22
45,Grass,156
45,Rabbitfemale,118
45,Rabbitmale,132
46,Foxfemale,21
46,Foxmale,22
46,Grass,156
46,Rabbitfemale,118
46,Rabbitmale,132
47,Foxfemale,21
47,Foxmale,23
47,Grass,153
47,Rabbitfemale,120
47,Rabbitmale,133
48,Foxfemale,22
48,Foxmale,24
48,Grass,152
48,Rabbitfemale,118
48,Rabbitmale,134
49,Foxfemale,22
49,Foxmale,24
49,Grass,152
49,Rabbitfemale,119
49,Rabbitmale,133
50,Foxfemale,22
50,Foxmale,25
50,Grass,151
50,Rabbitfemale,118
50,Rabbitmale,133
51,Foxfemale,22
51,Foxmale,25
51,Grass,149
51,Rabbitfemale,118
51,Rabbitmale,135
52,Foxfemale,22
52,Foxmale,25
52,Grass,148
52,Rabbitfemale,118
52,Rabbitmale,135
53,Foxfemale,22
53,Foxmale,25
53,Grass,147
53,Rabbitfemale,118
53,Rabbitmale,135
54,Foxfemale,21
54,Foxmale,26
54,Grass,147
54,Rabbitfemale,118
54,Rabbitmale,135
55,Foxfemale,22
55,Foxmale,26
55,Grass,146
55,Rabbitfemale,119
55,Rabbitmale,133
56,Foxfemale,23
56,Foxmale,27
56,Grass,143
56,Rabbitfemale,119
56,Rabbitmale,134
57,Foxfemale,23
57,Foxmale,27
57,Grass,141
57,Rabbitfemale,120
57,Rabbitmale,136
58,Foxfemale,23
58,Foxmale,27
58,Grass,138
58,Rabbitfemale,122
58,Rabbitmale,139
59,Foxfemale,23
59,Foxmale,27
59,Grass,137
59,Rabbitfemale,123
59,Rabbitmale,140
60,Foxfemale,24
60,Foxmale,27
60,Grass,135
60,Rabbitfemale,123
60,Rabbitmale,141
61,Foxfemale,25
61,Foxmale,27
61,Grass,133
61,Rabbitfemale,125
61,Rabbitmale,140
62,Foxfemale,25
62,Foxmale,27
62,Grass,133
62,Rabbitfemale,125
62,Rabbitmale,139
63,Foxfemale,24
63,Foxmale,29
63,Grass,133
63,Rabbitfemale,124
63,Rabbitmale,138
64,Foxfemale,24
64,Foxmale,29
64,Grass,132
64,Rabbitfemale,125
64,Rabbitmale,139
65,Foxfemale,24
65,Foxmale,29
65,Grass,131
65,Rabbitfemale,125
65,Rabbitmale,139
66,Foxfemale,24
66,Foxmale,29
66,Grass,131
66,Rabbitfemale,124
66,Rabbitmale,139
67,Foxfemale,23
67,Foxmale,30
67,Grass,130
67,Rabbitfemale,124
67,Rabbitmale,141
68,Foxfemale,23
68,Foxmale,30
68,Grass,130
68,Rabbitfemale,124
68,Rabbitmale,141
69,Foxfemale,25
69,Foxmale,30
69,Grass,129
69,Rabbitfemale,125
69,Rabbitmale,142
70,Foxfemale,24
70,Foxmale,32
70,Grass,129
70,Rabbitfemale,125
70,Rabbitmale,140
71,Foxfemale,24
71,Foxmale,31
71,Grass,128
71,Rabbitfemale,126
71,Rabbitmale,140
72,Foxfemale,24
72,Foxmale,32
72,Grass,128
72,Rabbitfemale,127
72,Rabbitmale,139
73,Foxfemale,25
73,Foxmale,31
73,Grass,127
73,Rabbitfemale,127
73,Rabbitmale,140
74,Foxfemale,24
74,Foxmale,31
74,Grass,127
74,Rabbitfemale,127
74,Rabbitmale,141
75,Foxfemale,24
75,Foxmale,31
75,Grass,127
75,Rabbitfemale,127
75,Rabbitmale,141
76,Foxfemale,25
76,Foxmale,31
76,Grass,127
76,Rabbitfemale,127
76,Rabbitmale,141
77,Foxfemale,25
77,Foxmale,31
77,Grass,125
77,Rabbitfemale,128
77,Rabbitmale,143
78,Foxfemale,26
78,Foxmale,31
78,Grass,125
78,Rabbitfemale,127
78,Rabbitmale,142
79,Foxfemale,25
79,Foxmale,32
79,Grass,127
79,Rabbitfemale,126
79,Rabbitmale,141
80,Foxfemale,24
80,Foxmale,32
80,Grass,130
80,Rabbitfemale,126
80,Rabbitmale,140
81,Foxfemale,24
81,Foxmale,32
81,Grass,134
81,Rabbitfemale,126
81,Rabbitmale,140
82,Foxfemale,24
82,Foxmale,32
82,Grass,133
82,Rabbitfemale,126
82,Rabbitmale,141
83,Foxfemale,24
83,Foxmale,32
83,Grass,136
83,Rabbitfemale,126
83,Rabbitmale,141
84,Foxfemale,24
84,Foxmale,31
84,Grass,136
